Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
LINEA PET CSD - LINEA 10,589658,CODIFICADOR LASER DE ENVASE,13352116,INSPECCION SEMANAL CODIFICADOR LASER DE,REVISION FUNCIONAMIENTO,si,CUMPLE,"18/5/2024, 6:05:25","0,0333333333",.,.,CUMPLE,,,,
LINEA PET CSD - LINEA 10,589658,CODIFICADOR LASER DE ENVASE,13352116,INSPECCION SEMANAL CODIFICADOR LASER DE,INSPECCION FILTROS AIRE ,si,CUMPLE,"18/5/2024, 6:05:31","0,0333333333",.,.,CUMPLE,,,,
LINEA PET CSD - LINEA 10,589658,CODIFICADOR LASER DE ENVASE,13352116,INSPECCION SEMANAL CODIFICADOR LASER DE,INSPECCION LENTE,si,CUMPLE,"18/5/2024, 6:05:37","0,0333333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,INSP NIVEL ACEITE (1/2 A 3/4),si,CUMPLE,"21/5/2024, 11:58:42","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,INSP TEMP ACEITE (>49 ºc),si,CUMPLE,"21/5/2024, 11:58:45","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,"INSP CAIDA PRESION FILTRO ACEITE(<0,9 BAR O 13PSI)",si,CUMPLE,"21/5/2024, 11:58:49","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,VERIFICAR FUNC DESAGUE CONDENSADO,si,CUMPLE,"21/5/2024, 11:58:52","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,"PRESION DIFERENCIAL FILTRO AIRE(NO>0,048BAR-0,7PSI)",si,CUMPLE,"21/5/2024, 11:58:56","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,REV. ACUMULACION ENFRIADOR(CUERPO EXTRAÑO),si,CUMPLE,"21/5/2024, 11:58:59","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,RUIDO ANORMAL,si,CUMPLE,"21/5/2024, 11:59:03","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,ESTADO INSTRUMENTACION,si,CUMPLE,"21/5/2024, 11:59:06","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,"ESCAPE FLUIDOS(AIRE,AGUA,ACEITE)",si,CUMPLE,"21/5/2024, 11:59:09","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,ESTADO GRAL PINTURA,si,CUMPLE,"21/5/2024, 11:59:13","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"21/5/2024, 11:59:17","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649544,COMPRESOR AIRE 3,13352302,INSPECCION SEMANAL COMPRESOR AIRE 3,ESTADO DEL SECADOR ,si,CUMPLE,"21/5/2024, 11:59:20","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,INSP NIVEL ACEITE (1/2 A 3/4),si,CUMPLE,"21/5/2024, 11:59:24","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,INSP TEMP ACEITE (>49 ºc),si,CUMPLE,"21/5/2024, 11:59:30","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,"INSP CAIDA PRESION FILTRO ACEITE(<0,9 BAR O 13PSI)",si,CUMPLE,"21/5/2024, 11:59:27","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,VERIFICAR FUNC DESAGUE CONDENSADO,si,CUMPLE,"21/5/2024, 11:59:53","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,"PRESION DIFERENCIAL FILTRO AIRE(NO>0,048BAR-0,7PSI)",si,CUMPLE,"21/5/2024, 11:59:36","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,REV. ACUMULACION ENFRIADOR(CUERPO EXTRAÑO),si,CUMPLE,"21/5/2024, 11:59:33","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,RUIDO ANORMAL,si,CUMPLE,"21/5/2024, 11:59:39","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,ESTADO INSTRUMENTACION,si,CUMPLE,"21/5/2024, 11:59:50","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,"ESCAPE FLUIDOS(AIRE,AGUA,ACEITE)",si,CUMPLE,"21/5/2024, 11:59:42","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,ESTADO GRAL PINTURA,si,CUMPLE,"21/5/2024, 11:59:56","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"21/5/2024, 11:59:45","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649543,COMPRESOR AIRE 2,13352301,INSPECCION SEMANAL COMPRESOR AIRE SIERRA,ESTADO DEL SECADOR ,si,CUMPLE,"21/5/2024, 12:00:00","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829059,COMPRESOR DE REFRIGERACION No. 2 JUGOS,13352330,INSPECCION SEMANAL COMPRESOR DE REFRIGER,PLAN MTTO MEC COMPRESOR REFRIG Nº2 JUGOS,si,Compresor con fallas en tarjeta electrónica se consulta a personal alfrio el cual quedó pendiente de enviar cotización ,,"0,1",WILLIAM MAZORRA,WALTER MORA,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/yC2LdbeYb9hc957BV30t/pub/A04S2OdwpLeracUeWOm0.jpg,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISAR PRESIONES Y TEMPERA,si,CUMPLE,"15/5/2024, 9:27:30","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISAR CAIDA PRESION FILTRO<10psi,si,CUMPLE,"15/5/2024, 9:26:13","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISAR RUIDOS ANORMALES ,si,CUMPLE,"15/5/2024, 9:27:37","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,INSP FUGA ACEITE (10 GOTAS/MIN ES NORMAL),si,CUMPLE,"15/5/2024, 9:27:44","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISAR NIVELES ACEITE,si,CUMPLE,"15/5/2024, 9:02:22","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISAR TABLERO ELECTRICO,si,CUMPLE,"15/5/2024, 9:34:18","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISAR NIVEL REFRIG TANQUE,si,CUMPLE,"15/5/2024, 9:25:48","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,INSP. ALINEACION ACOPLE,si,CUMPLE,"15/5/2024, 10:04:22","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REV. CALIBRACION TRANSDUCTOR Y RTD,si,CUMPLE,"15/5/2024, 9:26:19","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,REVISION PRESION Y TEMPERATURA,si,CUMPLE,"15/5/2024, 9:27:50","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,VERIF. VALVULAS DE SEGURIDAD,si,CUMPLE,"15/5/2024, 9:34:25","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,ESTADO DEL TANQUE,si,CUMPLE,"15/5/2024, 9:01:47","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,ESTADO DE ILUMINACION,si,CUMPLE,"15/5/2024, 9:28:03","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829058,COMPRESOR DE REFRIGERACION No. 1 JUGOS,13352329,INSPECCION SEMANAL COMPRESOR DE REFRIGER,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"15/5/2024, 9:02:29","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,829060,COMPRESOR DE REFRIGERACION No. 3 JUGOS,13352331,INSPECCION SEMANAL COMPRESOR DE REFRIGER,PLAN MTTO MEC COMPRESOR REFRIG Nº3 JUGOS,si,"Compresor fuera de servicio, pendiente acoplar motor 
Se pidió acople elastómero y la tarjeta electrónica con pantalla se instala en compresor #1 queda pendiente cotización de alfrio ",,"0,1",WILLIAM MAZORRA,WALTER MORA,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/yC2LdbeYb9hc957BV30t/pub/fBcp7JcFgzHVRGpPbTFz.jpg,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISAR PRESIONES Y TEMPERA,si,CUMPLE,"15/5/2024, 9:00:26","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISAR CAIDA PRESION FILTRO<10psi,si,CUMPLE,"15/5/2024, 8:59:29","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISAR RUIDOS ANORMALES ,si,CUMPLE,"15/5/2024, 8:59:21","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,INSP FUGA ACEITE (10 GOTAS/MIN ES NORMAL),si,CUMPLE,"15/5/2024, 9:00:46","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISAR NIVELES ACEITE,si,CUMPLE,"14/5/2024, 6:27:38","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISAR TABLERO ELECTRICO,si,CUMPLE,"15/5/2024, 9:01:06","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISAR NIVEL REFRIG TANQUE,si,CUMPLE,"15/5/2024, 9:01:12","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,INSP. ALINEACION ACOPLE,si,CUMPLE,"15/5/2024, 9:00:32","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REV. CALIBRACION TRANSDUCTOR Y RTD,si,CUMPLE,"15/5/2024, 9:01:01","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,REVISION PRESION Y TEMPERATURA,si,CUMPLE,"15/5/2024, 9:00:13","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,VERIF. VALVULAS DE SEGURIDAD,si,CUMPLE,"15/5/2024, 8:58:43","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,ESTADO DEL TANQUE,si,CUMPLE,"15/5/2024, 9:00:02","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,ESTADO DE ILUMINACION,si,CUMPLE,"15/5/2024, 8:58:35","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628883,COMPRESOR DE REFRIGERACION 1,13352874,INSPECCION SEMANAL COMPRESOR REFRIG 1 L1,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"15/5/2024, 8:55:14","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628884,COMPRESOR DE REFRIGERACION 2,13352875,INSPECCION SEMANAL COMPRESOR REFRIG 2,PLAN MTTO MEC COMPRESOR REFRIGER 2 L10,si,CUMPLE,"14/5/2024, 6:30:30","0,1",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628885,COMPRESOR DE REFRIGERACION 3,13352876,INSPECCION SEMANAL COMPRESOR REFRIG 3,PLAN MTTO MEC COMPRESOR REFRIGER 3 L10,si,,,"0,1",,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,NIVEL ACEITE,si,CUMPLE,"16/5/2024, 22:11:21","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,TEMPERATURA ACEITE,si,CUMPLE,"16/5/2024, 22:11:27","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,ESCAPES AMONIACO,si,CUMPLE,"16/5/2024, 22:11:34","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,AGUA PARA ENFRIAMIENTO,si,CUMPLE,"16/5/2024, 22:11:38","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,"PRESION: SUCCION, DESCARGA",si,CUMPLE,"16/5/2024, 22:11:43","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,PRESION ACEITE,si,CUMPLE,"16/5/2024, 22:11:47","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,RUIDO,si,CUMPLE,"16/5/2024, 22:11:51","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,"ESTADO POLEAS, CORREAS",si,CUMPLE,"16/5/2024, 22:11:55","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,GUARDA TRANSMISION,si,CUMPLE,"16/5/2024, 22:12:01","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,ELECTROVALVULAS DESCARGADOS,si,CUMPLE,"16/5/2024, 22:12:04","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,BOMBA ACEITE,si,CUMPLE,"16/5/2024, 22:12:08","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,INSTRUMENTACION,si,CUMPLE,"16/5/2024, 22:12:12","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,ESTADO GRAL PINTURA,si,CUMPLE,"16/5/2024, 22:12:16","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,629054,COMPRESOR REFRIGERACION RECIPROCANTE 4,13352305,INSPECCION SEMANAL COMPRESOR REFRIGERACI,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"16/5/2024, 22:12:21","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,NIVEL ACEITE,si,CUMPLE,"16/5/2024, 22:12:27","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,TEMPERATURA ACEITE,si,CUMPLE,"16/5/2024, 22:12:32","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,ESCAPES AMONIACO,si,CUMPLE,"16/5/2024, 22:12:36","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,AGUA PARA ENFRIAMIENTO,si,CUMPLE,"16/5/2024, 22:12:43","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,"PRESION: SUCCION, DESCARGA",si,CUMPLE,"16/5/2024, 22:12:47","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,PRESION ACEITE,si,CUMPLE,"16/5/2024, 22:12:51","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,RUIDO,si,CUMPLE,"16/5/2024, 22:12:56","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,"ESTADO POLEAS, CORREAS",si,CUMPLE,"16/5/2024, 22:13:00","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,GUARDA TRANSMISION,si,CUMPLE,"16/5/2024, 22:13:04","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,ELECTROVALVULAS DESCARGADOS,si,CUMPLE,"16/5/2024, 22:13:09","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,BOMBA ACEITE,si,CUMPLE,"16/5/2024, 22:13:13","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,INSTRUMENTACION,si,CUMPLE,"16/5/2024, 22:13:17","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,ESTADO GRAL PINTURA,si,CUMPLE,"16/5/2024, 22:13:22","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628831,COMPRESOR REFRIGERACION RECIPROCANTE 2,13352303,INSPECCION SEMANAL COMPRESOR REFRIGERACI,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"16/5/2024, 22:13:28","0,0071428571",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628832,COMPRESOR DE REFRIGERACION,13352304,INSPECCION SEMANAL COMPRESOR REFRIGERACI,PLAN DE MTTO MEC COMPRESOR REFRIG 1,si,CUMPLE,"16/5/2024, 22:13:32","0,1",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,829072,COMPRESOR TORNILLO AIRE VEL. VARIABLE,13352871,INSPECCION SEMANAL COMPRESOR TORNILLO AI,INSP NIVEL ACEITE (1/2 A 3/4),si,CUMPLE,"13/5/2024, 23:16:52","0,0083333333",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,829072,COMPRESOR TORNILLO AIRE VEL. VARIABLE,13352871,INSPECCION SEMANAL COMPRESOR TORNILLO AI,INSP TEMP ACEITE (>49 ºc),si,CUMPLE,"13/5/2024, 23:17:03","0,0083333333",.,.,CUMPLE,,,,
